,2018rank,City_x,State_x,2018estimate,2010Census,Change,2016 land area,2016 population density,Location,city_key,state_key,Rank,Land area (sq mi),Land area (km2),Water area (sq mi),Water area (km2),Total area (sq mi),Total area (km2)
0,1,New York City,New York,"8,398,748","8,175,133",+2.74%,301.5 sq mi,"28,317/sq mi",40°39′49″N 73°56′19″W﻿ / ﻿40.6635°N 73.9387°W﻿ / 40.6635; -73.9387﻿ (1 New York City),newyorkcity,newyork,24.0,302.6,784,165.8,429,468.5,"1,213"
1,2,Los Angeles,California,"3,990,456","3,792,621",+5.22%,468.7 sq mi,"8,484/sq mi",34°01′10″N 118°24′39″W﻿ / ﻿34.0194°N 118.4108°W﻿ / 34.0194; -118.4108﻿ (2 Los Angeles),losangeles,california,12.0,468.7,"1,214",34.0,88,502.7,"1,302"
2,3,Chicago,Illinois,"2,705,994","2,695,598",+0.39%,227.3 sq mi,"11,900/sq mi",41°50′15″N 87°40′54″W﻿ / ﻿41.8376°N 87.6818°W﻿ / 41.8376; -87.6818﻿ (3 Chicago),chicago,illinois,32.0,227.6,589,6.5,17,234.1,606
3,4,Houston,Texas,"2,325,502","2,100,263",+10.72%,637.5 sq mi,"3,613/sq mi",29°47′12″N 95°23′27″W﻿ / ﻿29.7866°N 95.3909°W﻿ / 29.7866; -95.3909﻿ (4 Houston),houston,texas,9.0,599.6,"1,553",27.9,72,627.5,"1,625"
4,5,Phoenix,Arizona,"1,660,272","1,445,632",+14.85%,517.6 sq mi,"3,120/sq mi",33°34′20″N 112°05′24″W﻿ / ﻿33.5722°N 112.0901°W﻿ / 33.5722; -112.0901﻿ (6 Phoenix),phoenix,arizona,10.0,516.7,"1,338",1.2,3.1,517.9,"1,341"
5,6,Philadelphia,Pennsylvania,"1,584,138","1,526,006",+3.81%,134.2 sq mi,"11,683/sq mi",40°00′34″N 75°08′00″W﻿ / ﻿40.0094°N 75.1333°W﻿ / 40.0094; -75.1333﻿ (5 Philadelphia),philadelphia,pennsylvania,69.0,134.1,347,8.6,22,142.7,370
6,7,San Antonio,Texas,"1,532,233","1,327,407",+15.43%,461.0 sq mi,"3,238/sq mi",29°28′21″N 98°31′30″W﻿ / ﻿29.4724°N 98.5251°W﻿ / 29.4724; -98.5251﻿ (7 San Antonio),sanantonio,texas,13.0,460.9,"1,194",5.8,15,466.7,"1,209"
7,8,San Diego,California,"1,425,976","1,307,402",+9.07%,325.2 sq mi,"4,325/sq mi",32°48′55″N 117°08′06″W﻿ / ﻿32.8153°N 117.1350°W﻿ / 32.8153; -117.1350﻿ (8 San Diego),sandiego,california,21.0,325.2,842,47.2,122,372.4,965
8,9,Dallas,Texas,"1,345,047","1,197,816",+12.29%,340.9 sq mi,"3,866/sq mi",32°47′36″N 96°45′59″W﻿ / ﻿32.7933°N 96.7665°W﻿ / 32.7933; -96.7665﻿ (9 Dallas),dallas,texas,18.0,340.5,882,45.3,117,385.8,999
9,10,San Jose,California,"1,030,119","945,942",+8.90%,177.5 sq mi,"5,777/sq mi",37°17′48″N 121°49′08″W﻿ / ﻿37.2967°N 121.8189°W﻿ / 37.2967; -121.8189﻿ (10 San Jose),sanjose,california,48.0,176.5,457,3.4,8.8,180.0,466
10,11,Austin,Texas,"964,254","790,390",+22.00%,312.7 sq mi,"3,031/sq mi",30°18′14″N 97°45′16″W﻿ / ﻿30.3039°N 97.7544°W﻿ / 30.3039; -97.7544﻿ (11 Austin),austin,texas,26.0,297.9,772,7.2,19,305.1,790
11,12,Jacksonville,Florida,"903,889","821,784",+9.99%,747.4 sq mi,"1,178/sq mi",30°20′13″N 81°39′42″W﻿ / ﻿30.3369°N 81.6616°W﻿ / 30.3369; -81.6616﻿ (12 Jacksonville),jacksonville,florida,5.0,747.0,"1,935",127.6,330,874.6,"2,265"
12,13,Fort Worth,Texas,"895,008","741,206",+20.75%,342.9 sq mi,"2,491/sq mi",32°46′53″N 97°20′48″W﻿ / ﻿32.7815°N 97.3467°W﻿ / 32.7815; -97.3467﻿ (16 Fort Worth),fortworth,texas,19.0,339.8,880,8.0,21,347.9,901
13,14,Columbus,Ohio,"892,533","787,033",+13.40%,218.5 sq mi,"3,936/sq mi",39°59′07″N 82°59′05″W﻿ / ﻿39.9852°N 82.9848°W﻿ / 39.9852; -82.9848﻿ (15 Columbus),columbus,ohio,34.0,217.2,563,5.9,15,223.1,578
14,15,San Francisco,California,"883,305","805,235",+9.70%,46.9 sq mi,"18,569/sq mi",37°43′38″N 123°01′56″W﻿ / ﻿37.7272°N 123.0322°W﻿ / 37.7272; -123.0322﻿ (13 San Francisco),sanfrancisco,california,,,,,,,
15,16,Charlotte,North Carolina,"872,498","731,424",+19.29%,305.4 sq mi,"2,757/sq mi",35°12′28″N 80°49′52″W﻿ / ﻿35.2078°N 80.8310°W﻿ / 35.2078; -80.8310﻿ (17 Charlotte),charlotte,northcarolina,27.0,297.7,771,2.0,5.2,299.7,776
16,17,Indianapolis,Indiana,"867,125","820,445",+5.69%,361.5 sq mi,"2,366/sq mi",39°46′36″N 86°08′45″W﻿ / ﻿39.7767°N 86.1459°W﻿ / 39.7767; -86.1459﻿ (14 Indianapolis),indianapolis,indiana,16.0,361.4,936,6.6,17,368.0,953
17,18,Seattle,Washington,"744,955","608,660",+22.39%,83.8 sq mi,"8,405/sq mi",47°37′14″N 122°21′03″W﻿ / ﻿47.6205°N 122.3509°W﻿ / 47.6205; -122.3509﻿ (20 Seattle),seattle,washington,129.0,83.9,217,58.7,152,142.7,370
18,19,Denver,Colorado,"716,492","600,158",+19.38%,153.3 sq mi,"4,521/sq mi",39°45′43″N 104°52′52″W﻿ / ﻿39.7619°N 104.8811°W﻿ / 39.7619; -104.8811﻿ (Denver),denver,colorado,55.0,153.0,396,1.6,4.1,154.6,400
19,20,"Washington, D.C.",District of Columbia,"702,455","601,723",+16.74%,61.1 sq mi,"11,148/sq mi","38°54′15″N 77°01′02″W﻿ / ﻿38.9041°N 77.0172°W﻿ / 38.9041; -77.0172﻿ (Washington, D.C.)","washington,d.c.",districtofcolumbia,,,,,,,
20,21,Boston,Massachusetts,"694,583","617,594",+12.47%,48.3 sq mi,"13,938/sq mi",42°19′55″N 71°01′13″W﻿ / ﻿42.3320°N 71.0202°W﻿ / 42.3320; -71.0202﻿ (Boston),boston,massachusetts,,,,,,,
21,22,El Paso,Texas,"682,669","649,121",+5.17%,256.8 sq mi,"2,660/sq mi",31°50′54″N 106°25′37″W﻿ / ﻿31.8484°N 106.4270°W﻿ / 31.8484; -106.4270﻿ (19 El Paso),elpaso,texas,29.0,255.2,661,1.0,2.6,256.3,664
22,23,Detroit,Michigan,"672,662","713,777",−5.76%,138.8 sq mi,"4,847/sq mi",42°22′59″N 83°06′08″W﻿ / ﻿42.3830°N 83.1022°W﻿ / 42.3830; -83.1022﻿ (18 Detroit),detroit,michigan,64.0,138.8,359,4.1,11,142.9,370
23,24,Nashville,Tennessee,"669,053","601,222",+11.28%,475.9 sq mi,"1,388/sq mi",36°10′18″N 86°47′06″W﻿ / ﻿36.1718°N 86.7850°W﻿ / 36.1718; -86.7850﻿ (Nashville),nashville,tennessee,11.0,475.1,"1,231",21.7,56,496.8,"1,287"
24,25,Portland,Oregon,"653,115","583,776",+11.88%,133.5 sq mi,"4,793/sq mi",45°32′13″N 122°39′00″W﻿ / ﻿45.5370°N 122.6500°W﻿ / 45.5370; -122.6500﻿ (Portland),portland,oregon,70.0,133.4,346,11.7,30,145.1,376
25,26,Memphis,Tennessee,"650,618","646,889",+0.58%,317.4 sq mi,"2,056/sq mi",35°06′10″N 89°58′39″W﻿ / ﻿35.1028°N 89.9774°W﻿ / 35.1028; -89.9774﻿ (Memphis),memphis,tennessee,22.0,315.1,816,8.9,23,324.0,839
26,27,Oklahoma City,Oklahoma,"649,021","579,999",+11.90%,606.3 sq mi,"1,053/sq mi",35°28′02″N 97°30′49″W﻿ / ﻿35.4671°N 97.5137°W﻿ / 35.4671; -97.5137﻿ (Oklahoma City),oklahomacity,oklahoma,8.0,606.4,"1,571",14.4,37,620.8,"1,608"
27,28,Las Vegas,Nevada,"644,644","583,756",+10.43%,134.4 sq mi,"4,709/sq mi",36°13′45″N 115°15′36″W﻿ / ﻿36.2292°N 115.2601°W﻿ / 36.2292; -115.2601﻿ (Las Vegas),lasvegas,nevada,68.0,135.8,352,0.1,0.26,135.9,352
28,29,Louisville,Kentucky,"620,118","597,337",+3.81%,263.5 sq mi,"2,339/sq mi",38°09′55″N 85°38′51″W﻿ / ﻿38.1654°N 85.6474°W﻿ / 38.1654; -85.6474﻿ (Louisville),louisville,kentucky,20.0,325.2,842,17.0,44,342.2,886
29,30,Baltimore,Maryland,"602,495","620,961",−2.97%,80.9 sq mi,"7,598/sq mi",39°18′00″N 76°36′38″W﻿ / ﻿39.3000°N 76.6105°W﻿ / 39.3000; -76.6105﻿ (Baltimore),baltimore,maryland,,,,,,,
30,31,Milwaukee,Wisconsin,"592,025","594,833",−0.47%,96.2 sq mi,"6,186/sq mi",43°03′48″N 87°58′00″W﻿ / ﻿43.0633°N 87.9667°W﻿ / 43.0633; -87.9667﻿ (Milwaukee),milwaukee,wisconsin,117.0,96.1,249,0.7,1.8,96.8,251
31,32,Albuquerque,New Mexico,"560,218","545,852",+2.63%,188.2 sq mi,"2,972/sq mi",35°06′20″N 106°38′51″W﻿ / ﻿35.1056°N 106.6474°W﻿ / 35.1056; -106.6474﻿ (Albuquerque),albuquerque,newmexico,44.0,187.7,486,1.8,4.7,189.5,491
32,33,Tucson,Arizona,"545,975","520,116",+4.97%,230.8 sq mi,"2,299/sq mi",32°09′11″N 110°52′14″W﻿ / ﻿32.1531°N 110.8706°W﻿ / 32.1531; -110.8706﻿ (Tucson),tucson,arizona,33.0,226.7,587,0.3,0.78,227.0,588
33,34,Fresno,California,"530,093","494,665",+7.16%,114.4 sq mi,"4,563/sq mi",36°47′01″N 119°47′36″W﻿ / ﻿36.7836°N 119.7934°W﻿ / 36.7836; -119.7934﻿ (Fresno),fresno,california,88.0,112.0,290,0.4,1.0,112.3,291
34,35,Mesa,Arizona,"508,958","439,041",+15.92%,137.9 sq mi,"3,514/sq mi",33°24′07″N 111°43′03″W﻿ / ﻿33.4019°N 111.7174°W﻿ / 33.4019; -111.7174﻿ (Mesa),mesa,arizona,67.0,136.5,354,0.6,1.6,137.1,355
35,36,Sacramento,California,"508,529","466,488",+9.01%,97.9 sq mi,"5,059/sq mi",38°34′00″N 121°28′07″W﻿ / ﻿38.5666°N 121.4686°W﻿ / 38.5666; -121.4686﻿ (Sacramento),sacramento,california,114.0,97.9,254,2.2,5.7,100.1,259
36,37,Atlanta,Georgia,"498,044","420,003",+18.58%,133.5 sq mi,"3,539/sq mi",33°45′46″N 84°25′22″W﻿ / ﻿33.7629°N 84.4227°W﻿ / 33.7629; -84.4227﻿ (Atlanta),atlanta,georgia,71.0,133.2,345,0.9,2.3,134.0,347
37,38,Kansas City,Missouri,"491,918","459,787",+6.99%,315.0 sq mi,"1,528/sq mi","39°07′30″N 94°33′04″W﻿ / ﻿39.1251°N 94.5510°W﻿ / 39.1251; -94.5510﻿ (Kansas City, MO)",kansascity,missouri,23.0,315.0,816,4.1,11,319.0,826
38,39,Colorado Springs,Colorado,"472,688","416,427",+13.51%,195.6 sq mi,"2,378/sq mi",38°52′02″N 104°45′39″W﻿ / ﻿38.8673°N 104.7607°W﻿ / 38.8673; -104.7607﻿ (Colorado Springs),coloradosprings,colorado,42.0,194.5,504,0.4,1.0,194.9,505
39,40,Miami,Florida,"470,914","399,457",+17.89%,36.0 sq mi,"12,599/sq mi",25°46′31″N 80°12′31″W﻿ / ﻿25.7752°N 80.2086°W﻿ / 25.7752; -80.2086﻿ (Miami),miami,florida,,,,,,,
40,41,Raleigh,North Carolina,"469,298","403,892",+16.19%,145.1 sq mi,"3,163/sq mi",35°49′50″N 78°38′30″W﻿ / ﻿35.8306°N 78.6418°W﻿ / 35.8306; -78.6418﻿ (Raleigh),raleigh,northcarolina,61.0,142.9,370,1.1,2.8,144.0,373
41,42,Omaha,Nebraska,"468,262","408,958",+14.50%,133.2 sq mi,"3,356/sq mi",41°15′52″N 96°02′42″W﻿ / ﻿41.2644°N 96.0451°W﻿ / 41.2644; -96.0451﻿ (Omaha),omaha,nebraska,76.0,127.1,329,3.5,9.1,130.6,338
42,43,Long Beach,California,"467,354","462,257",+1.10%,50.3 sq mi,"9,347/sq mi",33°48′33″N 118°09′19″W﻿ / ﻿33.8092°N 118.1553°W﻿ / 33.8092; -118.1553﻿ (Long Beach),longbeach,california,,,,,,,
43,44,Virginia Beach,Virginia,"450,189","437,994",+2.78%,244.7 sq mi,"1,850/sq mi",36°46′48″N 76°01′31″W﻿ / ﻿36.7800°N 76.0252°W﻿ / 36.7800; -76.0252﻿ (Virginia Beach),virginiabeach,virginia,,,,,,,
44,45,Oakland,California,"429,082","390,724",+9.82%,55.9 sq mi,"7,514/sq mi",37°46′11″N 122°13′33″W﻿ / ﻿37.7698°N 122.2257°W﻿ / 37.7698; -122.2257﻿ (Oakland),oakland,california,,,,,,,
45,46,Minneapolis,Minnesota,"425,403","382,578",+11.19%,54.0 sq mi,"7,660/sq mi",44°57′48″N 93°16′06″W﻿ / ﻿44.9633°N 93.2683°W﻿ / 44.9633; -93.2683﻿ (Minneapolis),minneapolis,minnesota,,,,,,,
46,47,Tulsa,Oklahoma,"400,669","391,906",+2.24%,196.8 sq mi,"2,048/sq mi",36°07′40″N 95°54′08″W﻿ / ﻿36.1279°N 95.9023°W﻿ / 36.1279; -95.9023﻿ (Tulsa),tulsa,oklahoma,41.0,196.8,510,4.2,11,201.0,521
47,48,Arlington,Texas,"398,112","365,438",+8.94%,95.8 sq mi,"4,100/sq mi",32°42′03″N 97°07′29″W﻿ / ﻿32.7007°N 97.1247°W﻿ / 32.7007; -97.1247﻿ (Arlington),arlington,texas,118.0,95.9,248,3.7,9.6,99.6,258
48,49,Tampa,Florida,"392,890","335,709",+17.03%,113.4 sq mi,"3,326/sq mi",27°58′12″N 82°28′47″W﻿ / ﻿27.9701°N 82.4797°W﻿ / 27.9701; -82.4797﻿ (Tampa),tampa,florida,87.0,113.4,294,61.8,160,175.2,454
49,50,New Orleans,Louisiana,"391,006","343,829",+13.72%,169.4 sq mi,"2,311/sq mi",30°03′12″N 89°56′04″W﻿ / ﻿30.0534°N 89.9345°W﻿ / 30.0534; -89.9345﻿ (New Orleans),neworleans,louisiana,50.0,169.4,439,180.8,468,350.2,907
50,51,Wichita,Kansas,"389,255","382,368",+1.80%,160.4 sq mi,"2,431/sq mi",37°41′27″N 97°20′45″W﻿ / ﻿37.6907°N 97.3459°W﻿ / 37.6907; -97.3459﻿ (Wichita),wichita,kansas,53.0,159.3,413,4.3,11,163.6,424
51,52,Cleveland,Ohio,"383,793","396,815",−3.28%,77.7 sq mi,"4,965/sq mi",41°28′43″N 81°40′46″W﻿ / ﻿41.4785°N 81.6794°W﻿ / 41.4785; -81.6794﻿ (Cleveland),cleveland,ohio,143.0,77.7,201,4.8,12,82.5,214
52,53,Bakersfield,California,"383,579","347,483",+10.39%,148.8 sq mi,"2,529/sq mi",35°19′16″N 119°01′06″W﻿ / ﻿35.3212°N 119.0183°W﻿ / 35.3212; -119.0183﻿ (Bakersfield),bakersfield,california,62.0,142.2,368,1.4,3.6,143.6,372
53,54,Aurora,Colorado,"374,114","325,078",+15.08%,153.5 sq mi,"2,356/sq mi",39°41′17″N 104°41′23″W﻿ / ﻿39.6880°N 104.6897°W﻿ / 39.6880; -104.6897﻿ (Aurora),aurora,colorado,54.0,154.7,401,0.7,1.8,155.4,402
54,55,Anaheim,California,"352,005","336,265",+4.68%,50.0 sq mi,"7,021/sq mi",33°51′20″N 117°45′36″W﻿ / ﻿33.8555°N 117.7601°W﻿ / 33.8555; -117.7601﻿ (Anaheim),anaheim,california,,,,,,,
55,56,Honolulu,Hawaii,"347,397","337,256",+3.01%,60.5 sq mi,"5,815/sq mi",21°19′27″N 157°50′51″W﻿ / ﻿21.3243°N 157.8476°W﻿ / 21.3243; -157.8476﻿ (Honolulu),honolulu,hawaii,,,,,,,
56,57,Santa Ana,California,"332,725","324,528",+2.53%,27.1 sq mi,"12,333/sq mi",33°44′11″N 117°52′59″W﻿ / ﻿33.7363°N 117.8830°W﻿ / 33.7363; -117.8830﻿ (Santa Ana),santaana,california,,,,,,,
57,58,Riverside,California,"330,063","303,871",+8.62%,81.2 sq mi,"3,999/sq mi",33°56′17″N 117°23′36″W﻿ / ﻿33.9381°N 117.3932°W﻿ / 33.9381; -117.3932﻿ (Riverside),riverside,california,132.0,81.1,210,0.3,0.78,81.4,211
58,59,Corpus Christi,Texas,"326,554","305,215",+6.99%,174.6 sq mi,"1,866/sq mi",27°45′15″N 97°10′24″W﻿ / ﻿27.7543°N 97.1734°W﻿ / 27.7543; -97.1734﻿ (Corpus Christi),corpuschristi,texas,51.0,160.6,416,329.0,852,489.6,"1,268"
59,60,Lexington,Kentucky,"323,780","295,803",+9.46%,283.6 sq mi,"1,123/sq mi",38°02′27″N 84°27′30″W﻿ / ﻿38.0407°N 84.4583°W﻿ / 38.0407; -84.4583﻿ (Lexington),lexington,kentucky,28.0,283.6,735,1.9,4.9,285.6,740
60,61,Stockton,California,"311,178","291,707",+6.67%,61.7 sq mi,"4,977/sq mi",37°58′35″N 121°18′48″W﻿ / ﻿37.9763°N 121.3133°W﻿ / 37.9763; -121.3133﻿ (Stockton),stockton,california,,,,,,,
61,62,Henderson,Nevada,"310,390","257,729",+20.43%,104.7 sq mi,"2,798/sq mi",36°00′35″N 115°02′09″W﻿ / ﻿36.0097°N 115.0357°W﻿ / 36.0097; -115.0357﻿ (Henderson),henderson,nevada,96.0,107.7,279,0.0,0,107.7,279
62,63,Saint Paul,Minnesota,"307,695","285,068",+7.94%,52.0 sq mi,"5,815/sq mi",44°56′56″N 93°06′15″W﻿ / ﻿44.9489°N 93.1041°W﻿ / 44.9489; -93.1041﻿ (Saint Paul),saintpaul,minnesota,,,,,,,
63,64,St. Louis,Missouri,"302,838","319,294",−5.15%,62.0 sq mi,"5,023/sq mi",38°38′09″N 90°14′41″W﻿ / ﻿38.6357°N 90.2446°W﻿ / 38.6357; -90.2446﻿ (St. Louis),st.louis,missouri,,,,,,,
64,65,Cincinnati,Ohio,"302,605","296,943",+1.91%,77.4 sq mi,"3,860/sq mi",39°08′25″N 84°30′21″W﻿ / ﻿39.1402°N 84.5058°W﻿ / 39.1402; -84.5058﻿ (Cincinnati),cincinnati,ohio,142.0,77.9,202,1.6,4.1,79.5,206
65,66,Pittsburgh,Pennsylvania,"301,048","305,704",−1.52%,55.4 sq mi,"5,481/sq mi",40°26′23″N 79°58′36″W﻿ / ﻿40.4398°N 79.9766°W﻿ / 40.4398; -79.9766﻿ (Pittsburgh),pittsburgh,pennsylvania,,,,,,,
66,67,Greensboro,North Carolina,"294,722","269,666",+9.29%,128.3 sq mi,"2,237/sq mi",36°05′42″N 79°49′37″W﻿ / ﻿36.0951°N 79.8270°W﻿ / 36.0951; -79.8270﻿ (Greensboro),greensboro,northcarolina,77.0,126.5,328,5.3,14,131.8,341
67,68,Anchorage,Alaska,"291,538","291,826",−0.10%,"1,706.6 sq mi",175/sq mi,61°10′27″N 149°17′03″W﻿ / ﻿61.1743°N 149.2843°W﻿ / 61.1743; -149.2843﻿ (Anchorage),anchorage,alaska,4.0,"1,704.7","4,415",256.3,664,"1,961.0","5,079"
68,69,Plano,Texas,"288,061","259,841",+10.86%,71.7 sq mi,"3,990/sq mi",33°03′03″N 96°44′52″W﻿ / ﻿33.0508°N 96.7479°W﻿ / 33.0508; -96.7479﻿ (Plano),plano,texas,,,,,,,
69,70,Lincoln,Nebraska,"287,401","258,379",+11.23%,92.1 sq mi,"3,044/sq mi",40°48′38″N 96°40′49″W﻿ / ﻿40.8105°N 96.6803°W﻿ / 40.8105; -96.6803﻿ (Lincoln),lincoln,nebraska,123.0,89.1,231,1.2,3.1,90.4,234
70,71,Orlando,Florida,"285,713","238,300",+19.90%,105.2 sq mi,"2,635/sq mi",28°25′00″N 81°16′25″W﻿ / ﻿28.4166°N 81.2736°W﻿ / 28.4166; -81.2736﻿ (Orlando),orlando,florida,107.0,102.4,265,8.3,21,110.7,287
71,72,Irvine,California,"282,572","212,375",+33.05%,65.6 sq mi,"4,057/sq mi",33°40′42″N 117°46′17″W﻿ / ﻿33.6784°N 117.7713°W﻿ / 33.6784; -117.7713﻿ (Irvine),irvine,california,,,,,,,
72,73,Newark,New Jersey,"282,090","277,140",+1.79%,24.1 sq mi,"11,691/sq mi",40°43′27″N 74°10′21″W﻿ / ﻿40.7242°N 74.1726°W﻿ / 40.7242; -74.1726﻿ (Newark),newark,newjersey,,,,,,,
